indiv_ind_ts_code,indiv_ind_trade_date,indiv_ind_close,indiv_ind_open,indiv_ind_high,indiv_ind_low,indiv_ind_pre_close,indiv_ind_change,indiv_ind_pct_chg,indiv_ind_vol,indiv_ind_amount
000905.SH,20250723,6196.7577,6218.2069,6256.1516,6187.0121,6213.4072,-16.6495,-0.268,258377896.0,311060238.982
000905.SH,20250722,6213.4072,6166.6164,6215.4058,6152.8142,6161.3086,52.0986,0.8456,246211642.0,313661670.874
000905.SH,20250721,6161.3086,6115.0255,6162.4401,6110.988,6099.6104,61.6982,1.0115,207350507.0,272008062.681
000905.SH,20250718,6099.6104,6092.2296,6112.1098,6073.6384,6082.4644,17.146,0.2819,153152204.0,236482711.042
000905.SH,20250717,6082.4644,6013.7141,6082.4644,6013.0436,6017.1947,65.2697,1.0847,149692658.0,235042939.349
000905.SH,20250716,6017.1947,6019.5765,6061.199,5997.1633,6018.7583,-1.5636,-0.026,148610062.0,213065134.852
000905.SH,20250715,6018.7583,6018.6274,6049.7867,5973.7969,6020.8585,-2.1002,-0.0349,189736234.0,246076758.437
000905.SH,20250714,6020.8585,6033.1782,6042.8856,6011.6872,6027.0789,-6.2204,-0.1032,189277444.0,226290847.208
000905.SH,20250711,6027.0789,5985.8236,6057.6225,5963.2571,5983.0505,44.0284,0.7359,222363098.0,263484519.394
000905.SH,20250710,5983.0505,5950.9657,6000.6858,5942.2901,5953.4871,29.5634,0.4966,176242607.0,207636636.985
000905.SH,20250709,5953.4871,5980.6451,5992.1349,5940.1761,5977.7437,-24.2566,-0.4058,164914402.0,207864435.843
000905.SH,20250708,5977.7437,5903.1017,5979.6273,5903.1017,5900.4056,77.3381,1.3107,168681142.0,216966438.898
000905.SH,20250707,5900.4056,5901.4018,5910.8036,5889.6023,5911.4352,-11.0296,-0.1866,137207362.0,165759099.336
000905.SH,20250704,5911.4352,5917.753,5969.3028,5889.7303,5922.66,-11.2248,-0.1895,164941060.0,211373135.686
000905.SH,20250703,5922.66,5896.2403,5929.7268,5885.943,5892.9505,29.7095,0.5042,130070046.0,174689067.394
000905.SH,20250702,5892.9505,5922.5407,5922.5407,5873.8918,5934.67,-41.7195,-0.703,162500485.0,194981070.907
000905.SH,20250701,5934.67,5915.8043,5936.9237,5890.114,5915.3876,19.2824,0.326,154192365.0,213595657.433
