indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
002594.SZ,20240529,224.7,2.6035,3.6946,3.87,21.7608,21.4476,4.5813,1.0853,1.0768,0.5088,0.5088,290926.5855,116247.0566,81915.6646,65371203.7619,26120713.618
002594.SZ,20240528,207.38,0.5243,0.744,0.74,20.0835,19.7944,4.2282,1.0017,0.9938,0.5513,0.5513,290926.5855,116247.0566,81915.6646,60332355.301,24107314.5977
002594.SZ,20240527,208.35,0.6542,0.9283,0.92,20.1774,19.887,4.248,1.0064,0.9985,0.5487,0.5487,290926.5855,116247.0566,81915.6646,60614554.0889,24220074.2426
002594.SZ,20240524,209.3,0.885,1.2559,1.35,20.2694,19.9776,4.2674,1.0109,1.003,0.5462,0.5462,290926.5855,116247.0566,81915.6646,60890934.3452,24330508.9464
002594.SZ,20240523,214.95,0.5358,0.7604,0.77,20.8166,20.5169,4.3825,1.0382,1.0301,0.5318,0.5318,290926.5855,116247.0566,81915.6646,62534669.5532,24987304.8162
002594.SZ,20240522,216.92,0.7604,1.0791,1.06,21.0074,20.705,4.4227,1.0478,1.0395,0.527,0.527,290926.5855,116247.0566,81915.6646,63107794.9267,25216311.5177
002594.SZ,20240521,218.78,0.7233,1.0264,1.06,21.1875,20.8825,4.4606,1.0567,1.0484,0.5225,0.5225,290926.5855,116247.0566,81915.6646,63648918.3757,25432531.0429
002594.SZ,20240520,222.87,0.6534,0.9273,0.94,21.5836,21.2729,4.544,1.0765,1.068,0.5129,0.5129,290926.5855,116247.0566,81915.6646,64838808.1104,25907981.5044
002594.SZ,20240517,219.59,0.615,0.8727,0.87,21.2659,20.9598,4.4772,1.0606,1.0523,0.5206,0.5206,290926.5855,116247.0566,81915.6646,63884568.9099,25526691.1588
002594.SZ,20240516,218.31,0.7498,1.064,1.08,21.142,20.8376,4.4511,1.0545,1.0462,0.5237,0.5237,290926.5855,116247.0566,81915.6646,63512182.8805,25377894.9263
002594.SZ,20240515,219.14,0.8579,1.2175,1.26,21.2223,20.9169,4.468,1.0585,1.0502,0.5217,0.5217,290926.5855,116247.0566,81915.6646,63753651.9465,25474379.9833
002594.SZ,20240514,224.91,0.5387,0.7644,0.66,21.7811,21.4676,4.5856,1.0863,1.0778,0.5083,0.5083,290926.5855,116247.0566,81915.6646,65432298.3448,26145125.4999
002594.SZ,20240513,225.7,0.7084,1.0046,0.71,21.8717,21.5569,4.5918,1.0909,1.0823,0.506,0.506,291114.2855,116434.7566,82103.3646,65704494.2374,26279324.5646
002594.SZ,20240510,227.8,0.6923,0.9819,0.65,22.0752,21.7575,4.6345,1.101,1.0924,0.5013,0.5013,291114.2855,116434.7566,82103.3646,66315834.2369,26523837.5535
002594.SZ,20240509,228.15,0.6786,0.9623,0.54,22.1092,21.7909,4.6417,1.1027,1.094,0.5005,0.5005,291114.2855,116434.7566,82103.3646,66417724.2368,26564589.7183
002594.SZ,20240508,226.23,0.7827,1.11,0.51,21.9231,21.6075,4.6026,1.0934,1.0848,0.5048,0.5048,291114.2855,116434.7566,82103.3646,65858784.8087,26341034.9856
002594.SZ,20240507,229.88,1.2384,1.7562,0.86,22.2768,21.9562,4.6769,1.1111,1.1023,0.4968,0.4968,291114.2855,116434.7566,82103.3646,66921351.9507,26766021.8472
002594.SZ,20240506,226.3,1.6042,2.2749,1.28,21.9299,21.6142,4.604,1.0938,1.0852,0.5046,0.5046,291114.2855,116434.7566,82103.3646,65879162.8087,26349185.4186
002594.SZ,20240430,218.5,0.9925,1.4076,0.82,21.174,20.8692,4.4453,1.0561,1.0478,0.5227,0.5227,291114.2855,116434.7566,82094.8131,63608471.3818,25440994.3171
002594.SZ,20240429,221.38,1.6463,2.3348,1.67,21.4531,21.4531,4.6428,1.07,1.07,0.5159,0.5159,291114.2855,116426.2051,82094.8131,64446880.524,25774433.285
002594.SZ,20240426,219.37,2.1769,3.0873,2.92,21.2583,21.2583,4.6007,1.0603,1.0603,0.5206,0.5206,291114.2855,116426.2051,82094.8131,63861740.8101,25540416.6128
002594.SZ,20240425,208.94,0.8133,1.1533,1.0,20.2476,20.2476,4.3819,1.0099,1.0099,0.5466,0.5466,291114.2855,116426.2051,82094.8131,60825418.8124,24326091.2936
002594.SZ,20240424,207.42,0.644,0.9133,0.76,20.1003,20.1003,4.35,1.0025,1.0025,0.5506,0.5506,291114.2855,116426.2051,82094.8131,60382925.0984,24149123.4618
002594.SZ,20240423,205.04,0.7498,1.0634,0.86,19.8697,19.8697,4.3001,0.991,0.991,0.557,0.557,291114.2855,116426.2051,82094.8131,59690073.0989,23872029.0937
002594.SZ,20240422,208.56,0.5557,0.788,0.58,20.2108,20.2108,4.3739,1.008,1.008,0.5476,0.5476,291114.2855,116426.2051,82094.8131,60714795.3839,24281849.3357
002594.SZ,20240419,210.13,0.96,1.3615,1.0,20.3629,20.3629,4.4069,1.0156,1.0156,0.5435,0.5435,291114.2855,116426.2051,82094.8131,61171844.8121,24464638.4777
002594.SZ,20240418,213.6,1.1509,1.6322,1.28,20.6992,20.6992,4.4796,1.0324,1.0324,0.5346,0.5346,291114.2855,116426.2051,82094.8131,62182011.3828,24868637.4094
002594.SZ,20240417,213.0,0.8325,1.1806,0.97,20.641,20.641,4.4671,1.0295,1.0295,0.5362,0.5362,291114.2855,116426.2051,82094.8131,62007342.8115,24798781.6863
