indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
600519.SH,20240605,1644.0,0.1517,0.347,0.76,27.6338,26.4753,8.6146,13.9829,13.3485,2.7383,2.7383,125619.78,125619.78,54913.6536,206518918.32,206518918.32
600519.SH,20240604,1653.2,0.1659,0.3795,0.82,27.7885,26.6234,8.6628,14.0612,13.4232,2.723,2.723,125619.78,125619.78,54913.6536,207674620.296,207674620.296
600519.SH,20240603,1639.39,0.2409,0.5511,1.24,27.5563,26.401,8.5904,13.9437,13.3111,2.746,2.746,125619.78,125619.78,54913.6536,205939811.1342,205939811.1342
600519.SH,20240531,1648.45,0.174,0.398,0.91,27.7086,26.5469,8.6379,14.0208,13.3846,2.7309,2.7309,125619.78,125619.78,54913.6536,207077926.341,207077926.341
600519.SH,20240530,1649.0,0.2564,0.5865,1.5,27.7179,26.5558,8.6408,14.0255,13.3891,2.73,2.73,125619.78,125619.78,54913.6536,207147017.22,207147017.22
600519.SH,20240529,1674.0,0.1564,0.3579,0.91,28.1381,26.9584,8.7718,14.2381,13.5921,2.6892,2.6892,125619.78,125619.78,54913.6536,210287511.72,210287511.72
600519.SH,20240528,1664.64,0.1872,0.4283,1.17,27.9808,26.8077,8.7227,14.1585,13.5161,2.7043,2.7043,125619.78,125619.78,54913.6536,209111710.5792,209111710.5792
600519.SH,20240527,1670.12,0.1998,0.457,1.17,28.0729,26.8959,8.7515,14.2051,13.5606,2.6954,2.6954,125619.78,125619.78,54913.6536,209800106.9736,209800106.9736
600519.SH,20240524,1677.08,0.1609,0.3682,0.87,28.1899,27.008,8.7879,14.2643,13.6171,2.6842,2.6842,125619.78,125619.78,54913.6536,210674420.6424,210674420.6424
600519.SH,20240523,1692.01,0.1503,0.3439,0.75,28.4408,27.2484,8.8662,14.3913,13.7383,2.6606,2.6606,125619.78,125619.78,54913.6536,212549923.9578,212549923.9578
600519.SH,20240522,1697.71,0.1615,0.3694,0.83,28.5366,27.3402,8.896,14.4398,13.7846,2.6516,2.6516,125619.78,125619.78,54913.6536,213265956.7038,213265956.7038
600519.SH,20240521,1705.0,0.1297,0.2967,0.64,28.6592,27.4576,8.9342,14.5018,13.8438,2.6403,2.6403,125619.78,125619.78,54913.6536,214181724.9,214181724.9
600519.SH,20240520,1709.0,0.2502,0.5723,1.18,28.7264,27.522,8.9552,14.5358,13.8763,2.6341,2.6341,125619.78,125619.78,54913.6536,214684204.02,214684204.02
600519.SH,20240517,1715.0,0.2302,0.5267,1.11,28.8273,27.6187,8.9866,14.5868,13.925,2.6249,2.6249,125619.78,125619.78,54913.6536,215437922.7,215437922.7
600519.SH,20240516,1704.5,0.2363,0.5405,1.2,28.6508,27.4496,8.9316,14.4975,13.8397,2.6411,2.6411,125619.78,125619.78,54913.6536,214118915.01,214118915.01
600519.SH,20240515,1700.0,0.1253,0.2866,0.64,28.5751,27.3771,8.908,14.4592,13.8032,2.6481,2.6481,125619.78,125619.78,54913.6536,213553626.0,213553626.0
600519.SH,20240514,1701.98,0.1694,0.3874,0.84,28.6084,27.409,8.9184,14.4761,13.8193,2.645,2.645,125619.78,125619.78,54913.6536,213802353.1644,213802353.1644
600519.SH,20240513,1706.0,0.2998,0.6858,1.27,28.676,27.4737,8.9395,14.5103,13.8519,2.6387,2.6387,125619.78,125619.78,54913.6536,214307344.68,214307344.68
600519.SH,20240510,1738.98,0.2086,0.4772,0.86,29.2303,28.0048,9.1123,14.7908,14.1197,2.5887,2.5887,125619.78,125619.78,54913.6536,218450285.0244,218450285.0244
