indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
600519.SH,20240930,13569.84,14114.24,13249.04,14018.96,13066.18,952.7799999999988,7.29,157293.41,26982747.037
600519.SH,20240927,12832.0,13066.18,12554.19,13066.18,12262.58,803.6000000000004,6.55,87921.67,14050260.569
600519.SH,20240926,11227.68,12269.56,11195.92,12262.58,11219.98,1042.6000000000004,9.29,97278.06,14269262.657
600519.SH,20240925,11228.4,11444.54,11201.61,11219.98,11008.25,211.72999999999956,1.92,73953.8,10420109.655
600519.SH,20240924,10306.42,11011.46,10146.02,11008.25,10117.55,890.7000000000007,8.8,100412.81,13297277.523
600519.SH,20240923,10169.36,10373.87,10110.49,10117.55,10136.64,-19.090000000000146,-0.19,45549.69,5809791.682
600519.SH,20240920,10117.23,10216.68,10025.24,10136.64,10113.22,23.420000000000073,0.23,39981.84,5038507.835
600519.SH,20240919,10121.24,10368.9,9991.56,10113.22,10160.54,-47.32000000000153,-0.47,59988.21,7623739.997
600519.SH,20240918,10426.0,10426.08,10158.61,10160.54,10459.12,-298.5799999999999,-2.85,46185.31,5895948.011
600519.SH,20240913,10674.62,10682.64,10404.35,10459.12,10707.18,-248.0599999999995,-2.32,56005.11,7329376.917
600519.SH,20240912,11067.6,11107.7,10705.98,10707.18,11067.6,-360.4200000000001,-3.26,47948.31,6482445.0
600519.SH,20240911,11032.31,11114.76,10947.3,11067.6,11051.56,16.040000000000873,0.15,20995.77,2892932.794
600519.SH,20240910,10987.56,11171.86,10987.56,11051.56,11027.5,24.05999999999949,0.22,19802.84,2737295.644
600519.SH,20240909,11067.68,11177.55,10988.04,11027.5,11211.96,-184.45999999999913,-1.65,28637.55,3950086.825
600519.SH,20240906,11268.1,11276.12,11211.96,11211.96,11267.14,-55.18000000000029,-0.49,10321.04,1445537.257
600519.SH,20240905,11232.01,11284.14,11203.94,11267.14,11228.0,39.13999999999942,0.35,14502.95,2033680.839
600519.SH,20240904,11244.04,11381.9,11225.91,11228.0,11308.2,-80.20000000000073,-0.71,14211.09,1995221.417
600519.SH,20240903,11211.96,11348.14,11172.02,11308.2,11187.9,120.30000000000109,1.08,17887.6,2516125.842
600519.SH,20240902,11468.6,11532.76,11187.9,11187.9,11574.38,-386.47999999999956,-3.34,34134.59,4801049.927
600519.SH,20240830,11332.26,11693.72,11268.1,11574.38,11334.67,239.70999999999913,2.11,38739.23,5576118.649
600519.SH,20240829,11067.6,11372.36,11067.6,11334.67,11139.78,194.88999999999942,1.75,27471.61,3864270.621
600519.SH,20240828,11260.64,11276.12,11027.5,11139.78,11260.64,-120.85999999999876,-1.07,31663.51,4388025.875
600519.SH,20240827,11324.24,11332.26,11236.9,11260.64,11324.24,-63.600000000000364,-0.56,13657.4,1920770.57
600519.SH,20240826,11364.34,11419.36,11253.26,11324.24,11348.22,-23.979999999999563,-0.21,15628.41,2207595.461
600519.SH,20240823,11292.16,11416.47,11277.08,11348.22,11308.6,39.61999999999898,0.35,15320.46,2166499.202
600519.SH,20240822,11356.32,11388.4,11228.08,11308.6,11368.99,-60.38999999999942,-0.53,19527.29,2750868.073
600519.SH,20240821,11388.4,11452.4,11353.83,11368.99,11410.21,-41.219999999999345,-0.36,15091.65,2144746.551
600519.SH,20240820,11467.8,11468.04,11340.28,11410.21,11432.03,-21.820000000001528,-0.19,18591.38,2644814.344
600519.SH,20240819,11484.64,11700.22,11428.5,11432.03,11478.22,-46.18999999999869,-0.4,20432.79,2942106.435
600519.SH,20240816,11442.86,11516.08,11364.42,11478.22,11443.66,34.55999999999949,0.3,16454.7,2349825.846
600519.SH,20240815,11268.34,11516.64,11259.68,11443.66,11334.67,108.98999999999978,0.96,23038.97,3275699.572
600519.SH,20240814,11412.54,11427.7,11324.4,11334.67,11412.54,-77.8700000000008,-0.68,13414.31,1898377.426
600519.SH,20240813,11492.66,11508.7,11324.32,11412.54,11517.52,-104.97999999999956,-0.91,16308.43,2317037.756
600519.SH,20240812,11468.6,11572.86,11441.17,11517.52,11523.14,-5.619999999998981,-0.05,13632.03,1956573.438
600519.SH,20240809,11709.44,11781.38,11523.14,11523.14,11474.13,49.01000000000022,0.43,30138.49,4368705.515
600519.SH,20240808,11316.22,11614.4,11300.18,11474.13,11352.31,121.81999999999971,1.07,25130.82,3592705.43
600519.SH,20240807,11272.11,11404.36,11214.37,11352.31,11265.69,86.61999999999898,0.77,20622.21,2910580.747
600519.SH,20240806,11404.44,11420.48,11179.96,11265.69,11308.28,-42.590000000000146,-0.38,27444.33,3860735.014
600519.SH,20240805,11138.82,11436.52,11111.87,11308.28,11111.31,196.97000000000116,1.77,37736.07,5327127.147
600519.SH,20240802,11016.27,11203.7,11016.27,11111.31,11117.0,-5.690000000000509,-0.05,21927.69,3041726.372
600519.SH,20240801,11372.36,11388.4,11105.29,11117.0,11398.67,-281.6700000000001,-2.47,32038.1,4470988.088
600519.SH,20240731,11012.26,11446.71,11012.26,11398.67,11067.52,331.14999999999964,2.99,43272.32,6098149.721
600519.SH,20240730,11115.56,11149.97,10917.63,11067.52,11212.12,-144.60000000000036,-1.29,51779.04,7103491.566
600519.SH,20240729,11348.3,11404.36,11211.96,11212.12,11405.96,-193.83999999999833,-1.7,30869.07,4342610.1
600519.SH,20240726,11472.53,11530.51,11315.42,11405.96,11472.53,-66.57000000000153,-0.58,32353.79,4594928.574
600519.SH,20240725,11548.96,11612.96,11388.48,11472.53,11548.96,-76.42999999999847,-0.66,28346.56,4054086.714
600519.SH,20240724,11630.6,11738.87,11508.7,11548.96,11669.1,-120.14000000000124,-1.03,24122.55,3490200.973
600519.SH,20240723,12021.98,12038.02,11669.1,11669.1,12021.98,-352.8799999999992,-2.94,30943.96,4555460.198
600519.SH,20240722,12230.74,12270.44,11963.03,12021.98,12235.47,-213.48999999999978,-1.74,28543.21,4300813.31
600519.SH,20240719,11956.3,12264.02,11901.76,12235.47,12010.03,225.4399999999987,1.88,38942.91,5888615.145
600519.SH,20240718,12025.99,12150.3,11970.09,12010.03,12041.23,-31.19999999999891,-0.26,28870.39,4337214.601
600519.SH,20240717,11838.32,12054.06,11789.56,12041.23,11837.52,203.70999999999913,1.72,34311.01,5115680.654
600519.SH,20240716,11837.52,11885.64,11749.7,11837.52,11828.7,8.819999999999709,0.07,20316.44,2998367.128
600519.SH,20240715,11789.4,11933.76,11789.4,11828.7,11860.14,-31.43999999999869,-0.27,19176.26,2835374.73
600519.SH,20240712,11813.54,11920.93,11752.91,11860.14,11725.96,134.1800000000003,1.14,23386.34,3451132.648
600519.SH,20240711,11628.76,11781.38,11550.48,11725.96,11529.47,196.48999999999978,1.7,29020.14,4236960.596
600519.SH,20240710,11542.78,11756.36,11508.7,11529.47,11533.0,-3.530000000000655,-0.03,23763.22,3436693.365
600519.SH,20240709,11388.4,11668.22,11309.0,11533.0,11388.4,144.60000000000036,1.27,33620.71,4807957.927
600519.SH,20240708,11572.86,11691.32,11381.5,11388.4,11653.06,-264.65999999999985,-2.27,39527.05,5657951.348
600519.SH,20240705,11861.58,11975.3,11629.0,11653.06,11915.63,-262.5699999999997,-2.2,38829.38,5664477.336
600519.SH,20240704,12070.1,12126.24,11878.66,11915.63,12030.0,-114.3700000000008,-0.95,24379.73,3637968.895
600519.SH,20240703,12021.98,12134.34,11933.92,12030.0,11955.41,74.59000000000015,0.62,31573.26,4740808.13
600519.SH,20240702,11492.66,12013.96,11492.66,11955.41,11551.85,403.5599999999995,3.49,51852.98,7659166.816
600519.SH,20240701,11780.42,11813.38,11452.56,11551.85,11768.47,-216.61999999999898,-1.84,32161.38,4636689.118
600519.SH,20240628,11869.6,11985.81,11741.28,11768.47,11953.73,-185.26000000000022,-1.55,38582.02,5699649.047
600519.SH,20240627,11965.84,11981.64,11773.36,11953.73,11943.54,10.18999999999869,0.09,32821.78,4857959.457
600519.SH,20240626,11869.6,12038.58,11851.96,11943.54,11922.93,20.610000000000582,0.17,29569.77,4414601.922
600519.SH,20240625,11846.28,12054.73,11846.28,11923.68,11842.67,81.01000000000022,0.68,42097.95,6273919.386
600519.SH,20240624,11413.03,11942.3,11340.93,11842.52,11798.01,44.51000000000022,0.38,63839.93,9319362.39
600519.SH,20240621,12034.61,12070.54,11791.75,11798.01,12031.4,-233.38999999999942,-1.94,43319.97,6418543.742
600519.SH,20240620,12030.6,12159.01,12014.56,12031.4,12038.62,-7.220000000001164,-0.06,24710.68,3715924.984
600519.SH,20240619,12014.48,12062.68,11887.03,12038.62,11955.37,83.25,0.7,41261.53,6167728.416
600519.SH,20240618,12029.12,12214.95,11917.46,11955.34,12112.49,-157.14999999999964,-1.3,41258.25,6317590.943
600519.SH,20240617,12040.12,12169.62,11872.91,12112.49,12218.57,-106.07999999999993,-0.87,48318.16,7400883.243
600519.SH,20240614,12218.57,12288.97,11947.17,12218.57,12218.65,-0.07999999999992724,-0.0,59514.16,9177637.168
600519.SH,20240613,12389.63,12390.57,12204.03,12218.65,12349.63,-130.97999999999956,-1.06,36185.97,5654938.942
600519.SH,20240612,12336.43,12493.58,12336.43,12349.63,12328.57,21.05999999999949,0.17,33170.5,5230086.503
600519.SH,20240611,12595.65,12611.45,12312.86,12328.57,12722.87,-394.3000000000011,-3.1,70246.76,11090577.61
600519.SH,20240607,12934.63,12935.02,12721.53,12722.87,12884.97,-162.09999999999854,-1.26,33524.55,5453120.695
600519.SH,20240606,12915.22,12980.68,12854.33,12884.97,12917.89,-32.92000000000007,-0.25,25610.05,4205700.983
600519.SH,20240605,12980.76,13033.24,12910.27,12917.89,12990.18,-72.29000000000087,-0.56,19055.57,3140824.328
