macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
SPX,6401.51,6415.54,6416.54,6360.58,6460.26,-44.72,-0.69,0.87,2867490.0,20250902
SPX,6489.28,6460.26,6491.76,6444.57,6501.86,-41.6,-0.64,0.73,2546180.0,20250829
SPX,6483.84,6501.86,6508.23,6466.96,6481.4,20.46,0.32,0.64,2615361.0,20250828
SPX,6462.26,6481.4,6487.06,6457.84,6465.94,15.46,0.24,0.45,2910864.0,20250827
SPX,6435.49,6465.94,6468.37,6429.21,6439.32,26.62,0.41,0.61,3237986.0,20250826
SPX,6457.67,6439.32,6466.89,6438.06,6466.91,-27.59,-0.43,0.45,2483636.0,20250825
SPX,6384.59,6466.91,6478.89,6384.59,6370.17,96.74,1.52,1.48,3043140.0,20250822
SPX,6380.83,6370.17,6393.65,6352.71,6395.78,-25.61,-0.4,0.64,2422545.0,20250821
SPX,6406.62,6395.78,6408.4,6343.86,6411.37,-15.59,-0.24,1.01,3031684.0,20250820
SPX,6446.24,6411.37,6456.48,6400.22,6449.15,-37.78,-0.59,0.87,2900381.0,20250819
SPX,6445.02,6449.15,6455.35,6437.7,6449.8,-0.65,-0.01,0.27,2572651.0,20250818
SPX,6477.38,6449.8,6481.34,6441.85,6468.54,-18.74,-0.29,0.61,3147835.0,20250815
SPX,6453.46,6468.54,6473.92,6441.07,6466.58,1.96,0.03,0.51,2766449.0,20250814
SPX,6462.67,6466.58,6480.28,6445.02,6445.76,20.82,0.32,0.55,3088354.0,20250813
SPX,6395.17,6445.76,6446.55,6385.76,6373.45,72.31,1.13,0.95,2870584.0,20250812
SPX,6389.67,6373.45,6407.25,6364.06,6389.45,-16.0,-0.25,0.68,2882117.0,20250811
SPX,6355.22,6389.45,6395.16,6355.22,6340.0,49.45,0.78,0.63,2816499.0,20250808
SPX,6374.32,6340.0,6389.71,6310.32,6345.06,-5.06,-0.08,1.25,3147667.0,20250807
SPX,6309.3,6345.06,6352.83,6301.11,6299.19,45.87,0.73,0.82,3273683.0,20250806
SPX,6336.63,6299.19,6346.0,6289.37,6329.94,-30.75,-0.49,0.89,3161668.0,20250805
SPX,6271.71,6329.94,6330.69,6271.71,6238.01,91.93,1.47,0.95,3001427.0,20250804
SPX,6287.28,6238.01,6287.28,6212.69,6339.39,-101.38,-1.6,1.18,3612532.0,20250801
SPX,6427.02,6339.39,6427.02,6327.64,6362.9,-23.51,-0.37,1.56,4064512.0,20250731
SPX,6381.23,6362.9,6396.54,6336.38,6370.86,-7.96,-0.12,0.94,3318617.0,20250730
SPX,6405.62,6370.86,6409.26,6363.92,6389.77,-18.91,-0.3,0.71,3249724.0,20250729
SPX,6397.69,6389.77,6401.07,6375.79,6388.64,1.13,0.02,0.4,2850714.0,20250728
SPX,6370.01,6388.64,6395.82,6368.53,6363.35,25.29,0.4,0.43,2992173.0,20250725
SPX,6368.6,6363.35,6381.31,6360.57,6358.91,4.44,0.07,0.33,3364123.0,20250724
SPX,6326.9,6358.91,6360.64,6317.49,6309.62,49.29,0.78,0.68,3236477.0,20250723
SPX,6306.6,6309.62,6316.12,6281.71,6305.6,4.02,0.06,0.55,2984047.0,20250722
SPX,6304.74,6305.6,6336.08,6303.79,6296.79,8.81,0.14,0.51,2664791.0,20250721
SPX,6312.95,6296.79,6315.61,6285.27,6297.36,-0.57,-0.01,0.48,3045581.0,20250718
SPX,6263.4,6297.36,6304.69,6262.27,6263.7,33.66,0.54,0.68,3032166.0,20250717
SPX,6254.5,6263.7,6268.12,6201.59,6243.76,19.94,0.32,1.07,2965045.0,20250716
SPX,6295.29,6243.76,6302.04,6241.68,6268.56,-24.8,-0.4,0.96,3107476.0,20250715
SPX,6255.15,6268.56,6273.31,6239.22,6259.75,8.81,0.14,0.54,2714541.0,20250714
SPX,6255.68,6259.75,6269.44,6237.6,6280.46,-20.71,-0.33,0.51,2619070.0,20250711
SPX,6266.8,6280.46,6290.22,6251.44,6263.26,17.2,0.27,0.62,2828822.0,20250710
SPX,6243.33,6263.26,6269.16,6231.43,6225.52,37.74,0.61,0.61,2811986.0,20250709
SPX,6234.03,6225.52,6242.7,6217.75,6229.98,-4.46,-0.07,0.4,3004892.0,20250708
SPX,6259.04,6229.98,6262.07,6201.0,6279.35,-49.37,-0.79,0.97,2745691.0,20250707
SPX,6246.46,6279.35,6284.65,6246.46,6227.42,51.93,0.83,0.61,1822312.0,20250703
