macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
HSI,24109.07,23689.72,24230.72,23577.78,24219.95,-530.23,-2.19,2.7,4931007.0,20250321
HSI,24753.15,24219.95,24753.15,24186.69,24771.14,-551.19,-2.23,2.29,4102247.0,20250320
HSI,24697.63,24771.14,24874.39,24601.73,24740.57,30.57,0.12,1.1,3593001.0,20250319
HSI,24679.35,24740.57,24745.13,24475.26,24145.57,595.0,2.46,1.12,3930667.0,20250318
HSI,24226.0,24145.57,24352.47,24077.15,23959.98,185.59,0.77,1.15,3284154.0,20250317
HSI,23653.33,23959.98,24113.53,23454.49,23462.65,497.33,2.12,2.81,4260065.0,20250314
HSI,23616.33,23462.65,23712.61,23198.73,23600.31,-137.66,-0.58,2.18,3231281.0,20250313
HSI,23859.23,23600.31,23962.03,23363.98,23782.14,-181.83,-0.76,2.51,3632713.0,20250312
HSI,23274.86,23782.14,23858.61,23238.36,23783.49,-1.35,-0.01,2.61,3554137.0,20250311
HSI,24115.98,23783.49,24292.8,23632.42,24231.3,-447.81,-1.85,2.73,3684250.0,20250310
HSI,24182.02,24231.3,24669.62,24065.01,24369.71,-138.41,-0.57,2.48,4830823.0,20250307
HSI,23987.09,24369.71,24410.93,23987.09,23594.21,775.5,3.29,1.8,4886268.0,20250306
HSI,23200.42,23594.21,23636.65,23090.63,22941.77,652.44,2.84,2.38,4077656.0,20250305
HSI,22678.25,22941.77,23051.01,22547.53,23006.27,-64.5,-0.28,2.19,3994826.0,20250304
HSI,23135.12,23006.27,23405.98,22861.75,22941.32,64.95,0.28,2.37,4338236.0,20250303
HSI,23616.18,22941.32,23616.18,22798.34,23718.29,-776.97,-3.28,3.45,6578328.0,20250228
HSI,23783.75,23718.29,24076.53,23441.74,23787.93,-69.64,-0.29,2.67,6256973.0,20250227
HSI,23238.34,23787.93,23973.17,23238.34,23034.02,753.91,3.27,3.19,5138075.0,20250226
HSI,22716.48,23034.02,23248.52,22716.48,23341.61,-307.59,-1.32,2.28,4449761.0,20250225
HSI,23472.14,23341.61,23688.45,23221.57,23477.92,-136.31,-0.58,1.99,5264639.0,20250224
HSI,23090.03,23477.92,23477.92,22901.69,22576.98,900.94,3.99,2.55,6167286.0,20250221
HSI,22716.71,22576.98,22849.66,22436.13,22944.24,-367.26,-1.6,1.8,4200437.0,20250220
HSI,22777.46,22944.24,22975.34,22649.49,22976.81,-32.57,-0.14,1.42,4080381.0,20250219
HSI,22664.73,22976.81,23141.41,22608.18,22616.23,360.58,1.59,2.36,5222618.0,20250218
HSI,22755.06,22616.23,22977.25,22319.32,22620.33,-4.1,-0.02,2.91,6736175.0,20250217
HSI,22027.07,22620.33,22620.33,22027.07,21814.37,805.96,3.69,2.72,6056957.0,20250214
HSI,21958.69,21814.37,22523.57,21735.56,21857.92,-43.55,-0.2,3.61,6487224.0,20250213
HSI,21526.41,21857.92,21858.83,21411.09,21294.86,563.06,2.64,2.1,4872966.0,20250212
HSI,21656.82,21294.86,21682.41,21279.37,21521.98,-227.12,-1.06,1.87,3583384.0,20250211
HSI,21223.61,21521.98,21539.63,21223.61,21133.54,388.44,1.84,1.5,3736111.0,20250210
HSI,20858.52,21133.54,21213.7,20806.1,20891.62,241.92,1.16,1.95,4125561.0,20250207
HSI,20598.98,20891.62,20891.62,20532.06,20597.09,294.53,1.43,1.75,2957435.0,20250206
HSI,20827.77,20597.09,20827.77,20417.39,20789.96,-192.87,-0.93,1.97,2967877.0,20250205
HSI,20488.29,20789.96,20885.49,20297.64,20217.26,572.7,2.83,2.91,2854047.0,20250204
HSI,20048.87,20217.26,20222.0,19764.67,20225.11,-7.85,-0.04,2.26,2224420.0,20250203
HSI,20337.46,20225.11,20337.46,20165.73,20197.77,27.34,0.14,0.85,945165.07,20250128
HSI,20118.02,20197.77,20296.94,20118.02,20066.19,131.58,0.66,0.89,2751205.0,20250127
HSI,19842.85,20066.19,20144.0,19768.13,19700.56,365.63,1.86,1.91,3209801.0,20250124
HSI,19881.32,19700.56,20044.06,19644.83,19778.77,-78.21,-0.4,2.02,3059665.0,20250123
HSI,19997.09,19778.77,20022.34,19733.21,20106.55,-327.78,-1.63,1.44,2282069.0,20250122
HSI,20128.34,20106.55,20205.25,19920.31,19925.81,180.74,0.91,1.43,2412101.0,20250121
HSI,19804.64,19925.81,20093.65,19786.73,19584.06,341.75,1.75,1.57,2764367.0,20250120
HSI,19499.1,19584.06,19640.37,19423.7,19522.89,61.17,0.31,1.11,2435751.0,20250117
HSI,19454.92,19522.89,19664.39,19345.19,19286.07,236.82,1.23,1.66,2710672.0,20250116
HSI,19149.94,19286.07,19319.22,19149.94,19219.78,66.29,0.34,0.88,2451865.0,20250115
HSI,18901.56,19219.78,19318.36,18901.56,18874.14,345.64,1.83,2.21,2838563.0,20250114
HSI,18918.15,18874.14,18929.12,18671.49,19064.29,-190.15,-1.0,1.35,2754792.0,20250113
HSI,19328.07,19064.29,19370.49,19036.64,19240.89,-176.6,-0.92,1.74,2606699.0,20250110
HSI,19254.38,19240.89,19405.74,19227.73,19279.84,-38.95,-0.2,0.92,2456498.0,20250109
HSI,19390.76,19279.84,19483.59,19111.54,19447.58,-167.74,-0.86,1.91,3232400.0,20250108
HSI,19501.45,19447.58,19668.65,19252.61,19688.29,-240.71,-1.22,2.11,3580950.0,20250107
HSI,19848.71,19688.29,19851.55,19627.84,19760.27,-71.98,-0.36,1.13,2465706.0,20250106
HSI,19708.74,19760.27,19891.86,19634.07,19623.32,136.95,0.7,1.31,3393771.0,20250103
HSI,19932.8,19623.32,19932.8,19542.98,20059.95,-436.63,-2.18,1.94,4033352.0,20250102
HSI,20003.36,20059.95,20180.4,20003.36,20041.42,18.53,0.09,0.88,1722100.0,20241231
HSI,20124.75,20041.42,20193.09,19968.07,20090.46,-49.04,-0.24,1.12,2724937.0,20241230
HSI,20083.44,20090.46,20184.88,20009.95,20098.29,-7.83,-0.04,0.87,2906585.0,20241227
HSI,19911.5,20098.29,20165.46,19908.57,19883.13,215.16,1.08,1.29,2206525.0,20241224
HSI,19843.65,19883.13,19937.39,19746.46,19720.7,162.43,0.82,0.97,3403594.0,20241223
HSI,19697.06,19720.7,19875.9,19692.68,19752.51,-31.81,-0.16,0.93,3501199.0,20241220
HSI,19610.1,19752.51,19849.03,19591.49,19864.55,-112.04,-0.56,1.3,2385034.0,20241219
HSI,19884.54,19864.55,19953.53,19802.22,19700.48,164.07,0.83,0.77,2288116.0,20241218
HSI,19678.03,19700.48,19930.83,19620.63,19795.49,-95.01,-0.48,1.57,2787061.0,20241217
HSI,19947.23,19795.49,20049.21,19726.15,19971.24,-175.75,-0.88,1.62,2699601.0,20241216
HSI,20238.21,19971.24,20238.21,19927.27,20397.05,-425.81,-2.09,1.52,3106773.0,20241213
HSI,20213.24,20397.05,20546.44,20121.47,20155.05,242.0,1.2,2.11,2777100.0,20241212
HSI,20404.5,20155.05,20481.37,20100.07,20311.28,-156.23,-0.77,1.88,2300070.0,20241211
HSI,21070.05,20311.28,21070.05,20308.86,20414.09,-102.81,-0.5,3.73,4472372.0,20241210
HSI,19732.28,20414.09,20433.73,19695.51,19865.85,548.24,2.76,3.72,3960642.0,20241209
HSI,19611.62,19865.85,19934.72,19566.29,19560.44,305.41,1.56,1.88,3493293.0,20241206
HSI,19578.66,19560.44,19642.73,19466.69,19742.46,-182.02,-0.92,0.89,2007506.0,20241205
HSI,19722.15,19742.46,19823.09,19615.61,19746.32,-3.86,-0.02,1.05,2589126.0,20241204
HSI,19585.35,19746.32,19768.32,19386.82,19550.29,196.03,1.0,1.95,2625268.0,20241203
HSI,19442.31,19550.29,19690.22,19387.2,19423.61,126.68,0.65,1.56,2392349.0,20241202
HSI,19346.62,19423.61,19658.2,19312.41,19366.96,56.65,0.29,1.79,2487646.0,20241129
HSI,19558.18,19366.96,19558.18,19312.26,19603.13,-236.17,-1.2,1.25,2160791.0,20241128
HSI,19187.05,19603.13,19660.99,19061.6,19159.2,443.93,2.32,3.13,2374799.0,20241127
HSI,19054.4,19159.2,19295.75,19054.4,19150.99,8.21,0.04,1.26,2384715.0,20241126
HSI,19307.34,19150.99,19351.06,19102.06,19229.97,-78.98,-0.41,1.29,4385586.0,20241125
HSI,19613.55,19229.97,19711.4,19134.59,19601.11,-371.14,-1.89,2.94,3237628.0,20241122
HSI,19646.04,19601.11,19764.62,19552.5,19705.01,-103.9,-0.53,1.08,2079193.0,20241121
HSI,19623.39,19705.01,19752.93,19575.91,19663.67,41.34,0.21,0.9,2057519.0,20241120
HSI,19699.81,19663.67,19758.57,19522.59,19576.61,87.06,0.44,1.21,2529912.0,20241119
HSI,19595.5,19576.61,19781.08,19470.43,19426.34,150.27,0.77,1.6,3176438.0,20241118
HSI,19503.03,19426.34,19608.24,19332.34,19435.81,-9.47,-0.05,1.42,2947181.0,20241115
HSI,19626.26,19435.81,19859.17,19392.59,19823.45,-387.64,-1.96,2.35,3309999.0,20241114
HSI,19671.92,19823.45,19840.28,19608.32,19846.88,-23.43,-0.12,1.17,2862286.0,20241113
HSI,20334.09,19846.88,20517.24,19761.31,20426.93,-580.05,-2.84,3.7,4319462.0,20241112
HSI,20258.14,20426.93,20505.01,20151.38,20728.19,-301.26,-1.45,1.71,3649659.0,20241111
HSI,21199.96,20728.19,21355.44,20705.12,20953.34,-225.15,-1.07,3.1,4153511.0,20241108
HSI,20386.36,20953.34,20986.31,20370.44,20538.38,414.96,2.02,3.0,4317469.0,20241107
HSI,20791.8,20538.38,20859.66,20361.92,21006.97,-468.59,-2.23,2.37,3903890.0,20241106
HSI,20409.94,21006.97,21006.97,20409.94,20567.52,439.45,2.14,2.9,3147326.0,20241105
HSI,20584.45,20567.52,20633.58,20446.26,20506.43,61.09,0.3,0.91,2463563.0,20241104
HSI,20427.88,20506.43,20667.22,20353.34,20317.33,189.1,0.93,1.54,3278799.0,20241101
HSI,20414.2,20317.33,20553.3,20317.33,20380.64,-63.31,-0.31,1.16,3238219.0,20241031
HSI,20586.55,20380.64,20681.52,20270.07,20701.14,-320.5,-1.55,1.99,3626539.0,20241030
HSI,20729.98,20701.14,20890.08,20563.74,20599.36,101.78,0.49,1.58,3137711.0,20241029
HSI,20592.74,20599.36,20669.41,20428.94,20590.15,9.21,0.04,1.17,2978624.0,20241028
HSI,20521.95,20590.15,20784.47,20521.95,20489.62,100.53,0.49,1.28,2984626.0,20241025
HSI,20576.05,20489.62,20685.46,20448.46,20760.15,-270.53,-1.3,1.14,2725564.0,20241024
HSI,20525.44,20760.15,20942.26,20448.84,20498.95,261.2,1.27,2.41,3541994.0,20241023
HSI,20433.49,20498.95,20629.48,20380.04,20478.46,20.49,0.1,1.22,2556580.0,20241022
HSI,20730.95,20478.46,20845.57,20423.09,20804.11,-325.65,-1.57,2.03,3775033.0,20241021
HSI,20106.65,20804.11,20952.99,20058.67,20079.1,725.01,3.61,4.45,4586214.0,20241018
