market_margin_trade_date,market_margin_exchange_id,market_margin_rzye,market_margin_rzmre,market_margin_rzche,market_margin_rqye,market_margin_rqmcl,market_margin_rzrqye,market_margin_rqyl
20240826,SSE,729108878020.0,19006280596.0,19076826702.0,8073198050.0,58129299.0,737182076070.0,2063625498.0
20240826,BSE,1011666422.0,28082336.0,146849403.0,243366.0,13708.0,1011909788.0,18524.0
20240826,SZSE,654858328747.0,19330376367.0,19433423490.0,4120497368.0,19941115.0,658978826115.0,792579168.0
20240823,SSE,729197010072.0,18317904216.0,21139667260.0,8089873882.0,29460226.0,737286883954.0,2070886260.0
20240823,BSE,1007883651.0,23355034.0,131265759.0,125149.0,8900.0,1008008800.0,13716.0
20240823,SZSE,654980942610.0,16408127741.0,19053365735.0,4176045986.0,17665146.0,659156988596.0,816552269.0
20240822,BSE,1014671706.0,28638771.0,136616778.0,198403.0,7700.0,1014870109.0,12316.0
20240822,SSE,732035606499.0,20410139406.0,23592452651.0,8266743028.0,55995842.0,740302349527.0,2111136605.0
20240822,SZSE,657650968714.0,18864036701.0,21492131083.0,4268480184.0,23213209.0,661919448898.0,829743391.0
20240821,BSE,1020251721.0,35408809.0,159566238.0,141356.0,100.0,1020393077.0,14716.0
20240821,SSE,735199955823.0,17743979780.0,18281783788.0,8533857414.0,35352348.0,743733813237.0,2136837356.0
20240821,SZSE,660301016126.0,17653187709.0,18935206821.0,4433048313.0,27271885.0,664734064439.0,846357526.0
20240820,BSE,1023110248.0,34973560.0,150525628.0,141903.0,13200.0,1023252151.0,14616.0
20240820,SSE,735749560342.0,22336528345.0,22413953304.0,8759272747.0,58889538.0,744508833089.0,2161085443.0
20240820,SZSE,661547985360.0,19347203127.0,20974875780.0,4519297047.0,29573871.0,666067282407.0,857871740.0
20240819,BSE,1033649369.0,30645630.0,112554375.0,343974.0,23534.0,1033993343.0,31350.0
20240819,SSE,735845825682.0,22502539348.0,22763197283.0,9001213787.0,50054532.0,744847039469.0,2155215324.0
20240819,SZSE,663207943153.0,20948318638.0,20483071368.0,4710950094.0,22606894.0,667918893247.0,879203166.0
20240816,SSE,736117355213.0,21552407838.0,23655449804.0,9304661282.0,42163826.0,745422016495.0,2195312023.0
20240816,BSE,1034284361.0,35736097.0,102533944.0,115755.0,7782.0,1034400116.0,14607.0
20240816,SZSE,662760614527.0,21876033306.0,22752392472.0,4993183834.0,23587014.0,667753798361.0,901752091.0
20240815,BSE,1036365187.0,33632078.0,96499070.0,110836.0,12562.0,1036476023.0,13978.0
20240815,SSE,738235739847.0,23829253343.0,25304357937.0,9598747967.0,58952053.0,747834487814.0,2298557906.0
20240815,SZSE,663622996514.0,21440516532.0,22002150561.0,5266073454.0,25631908.0,668889069968.0,958157801.0
20240814,BSE,1036301198.0,29457843.0,84446667.0,12389.0,0.0,1036313587.0,1416.0
20240814,SSE,739725384912.0,18482553528.0,18359388218.0,9833758438.0,36405138.0,749559143350.0,2343847928.0
20240814,SZSE,664201068460.0,17381288424.0,16661176048.0,5563699674.0,28040325.0,669764768134.0,997989310.0
20240813,SSE,739609113886.0,19407391033.0,19014869729.0,10356393583.0,53725153.0,749965507469.0,2406569194.0
20240813,BSE,1038963040.0,30529351.0,92561751.0,12021.0,0.0,1038975061.0,1416.0
20240813,SZSE,663500500297.0,16821871067.0,16196112940.0,5882696062.0,24418663.0,669383196359.0,1022832935.0
20240812,BSE,1036686967.0,26848025.0,84182676.0,12424.0,0.0,1036699391.0,1416.0
20240812,SSE,739294913283.0,18273999796.0,18788684228.0,10594752061.0,45564854.0,749889665344.0,2443118188.0
20240812,SZSE,662889974081.0,16242828932.0,16973960123.0,6102652011.0,29147227.0,668992626092.0,1059296044.0
20240809,SSE,739820558982.0,22637176301.0,23121768621.0,11152556950.0,53384990.0,750973115932.0,2604698100.0
20240809,BSE,1033221447.0,28381860.0,91637535.0,11362.0,0.0,1033232809.0,1416.0
20240809,SZSE,663634000563.0,19716140847.0,21022624385.0,6365804135.0,28240721.0,669999804698.0,1090521928.0
20240808,BSE,1035007850.0,28645378.0,77838196.0,11521.0,0.0,1035019371.0,1416.0
20240808,SSE,740311931631.0,24869752398.0,25074653151.0,11703627968.0,61378244.0,752015559599.0,2769058740.0
20240808,SZSE,664954173124.0,22088498080.0,23314914793.0,6712525080.0,28917594.0,671666698204.0,1152507906.0
20240807,SSE,740538204386.0,23994041058.0,24209617011.0,12156766676.0,63208933.0,752694971062.0,2927009452.0
20240807,BSE,1040793390.0,28831067.0,76114001.0,11122.0,0.0,1040804512.0,1416.0
20240807,SZSE,666190243047.0,21668727639.0,21681857942.0,6815982279.0,51630870.0,673006225326.0,1214208028.0
20240806,BSE,1037561363.0,24408859.0,75084294.0,11334.0,0.0,1037572697.0,1416.0
20240806,SSE,740775446219.0,28257435391.0,27217704279.0,12556026506.0,56586572.0,753331472725.0,3059599461.0
20240806,SZSE,666216910813.0,24920547573.0,24184559720.0,6883161563.0,36728402.0,673100072376.0,1207275175.0
20240805,SSE,739818172372.0,33165632858.0,34683173646.0,13010398738.0,76719081.0,752828571110.0,3191132223.0
20240805,BSE,1047484448.0,38003954.0,93448401.0,10825.0,0.0,1047495273.0,1416.0
20240805,SZSE,665494381021.0,28296824478.0,32215895822.0,7047916770.0,49825196.0,672542297791.0,1238286582.0
20240802,SSE,741359830054.0,29893724044.0,31315028812.0,13801109289.0,49210082.0,755160939343.0,3303398967.0
20240802,BSE,1051337122.0,48874292.0,102341899.0,18293.0,0.0,1051355415.0,1816.0
20240802,SZSE,669427644526.0,28329785080.0,31035278042.0,7412338028.0,31957456.0,676839982554.0,1255633990.0
20240801,BSE,1052733177.0,59674655.0,97300846.0,18165.0,0.0,1052751342.0,1816.0
20240801,SSE,742793992998.0,33489019778.0,32564149705.0,14453737431.0,50109030.0,757247730429.0,3406907316.0
20240801,SZSE,672146998502.0,32069221439.0,30728990265.0,7749182599.0,26193228.0,679896181101.0,1279986218.0
20240731,SSE,741896882387.0,41682325954.0,39553662001.0,15234985742.0,70137040.0,757131868129.0,3622390432.0
20240731,BSE,1049695309.0,73782795.0,99180010.0,18119.0,0.0,1049713428.0,1816.0
20240731,SZSE,670773718588.0,37553433897.0,34404585240.0,8008683615.0,38885291.0,678782402203.0,1335768397.0
20240730,BSE,1045229595.0,51946023.0,84939607.0,17732.0,0.0,1045247327.0,1816.0
20240730,SSE,739775335240.0,24778077714.0,24358870347.0,15364764559.0,62888007.0,755140099799.0,3802214257.0
20240730,SZSE,667646192697.0,22364380326.0,22316563523.0,8023648081.0,35345022.0,675669840778.0,1424958914.0
20240729,SSE,739362322064.0,24177623124.0,23523297194.0,15838388662.0,62460508.0,755200710726.0,3904512169.0
20240729,BSE,1035620512.0,39937772.0,73151726.0,17483.0,0.0,1035637995.0,1816.0
20240729,SZSE,667611536997.0,22069506423.0,20649146443.0,8234592537.0,39356153.0,675846129534.0,1457184763.0
20240726,SSE,738714451618.0,25143059459.0,26493887231.0,16283475276.0,76557988.0,754997926894.0,3962118475.0
20240726,BSE,1036692576.0,48488530.0,90460899.0,17909.0,0.0,1036710485.0,1816.0
20240726,SZSE,666210927577.0,21632648734.0,23494375751.0,8518598819.0,42778077.0,674729526396.0,1471269502.0
20240725,BSE,1034337598.0,39443874.0,81870382.0,17798.0,0.0,1034355396.0,1816.0
20240725,SSE,740078516108.0,24886412565.0,24784527876.0,16532609293.0,71391871.0,756611125401.0,3983669413.0
20240725,SZSE,668037336897.0,20543427340.0,20784333537.0,8592137118.0,32337063.0,676629474015.0,1477374227.0
20240724,SSE,739984379926.0,24507965431.0,26058689676.0,16845697298.0,84532006.0,756830077224.0,4022953865.0
20240724,BSE,1037746432.0,44697559.0,87833739.0,17728.0,0.0,1037764160.0,1816.0
20240724,SZSE,668308471964.0,21165203075.0,22064599028.0,8744507469.0,46654932.0,677052979433.0,1488190408.0
20240723,BSE,1047120200.0,58353205.0,99532830.0,18447.0,0.0,1047138647.0,1816.0
20240723,SSE,741544599301.0,28116572045.0,29278378453.0,17113921507.0,77063615.0,758658520808.0,4088502241.0
20240723,SZSE,669258331996.0,24309434098.0,25775163300.0,8936884221.0,40548644.0,678195216217.0,1508637912.0
20240722,SSE,742713939268.0,30304394857.0,28187151693.0,18318026705.0,74171484.0,761031965973.0,4155785404.0
20240722,SZSE,670741976743.0,24952777852.0,23430168227.0,9583459717.0,40385071.0,680325436460.0,1552119937.0
20240722,BSE,1045107936.0,63352225.0,100921788.0,19225.0,0.0,1045127161.0,1816.0
20240719,SSE,740602433300.0,28857733940.0,32378415158.0,19075349671.0,59016375.0,759677782971.0,4218710582.0
20240719,BSE,1040082669.0,74397042.0,113327458.0,19061.0,0.0,1040101730.0,1816.0
